scenario,outcome,median_change,mean_change,p25_change,p75_change,countries,countries_with_defined_percentage_change,countries_increase,countries_decline
Trend continuation,Suicide,-4.39860204348329,-5.222960365254578,-9.421940645660209,-0.6661638859105201,200,199,46,153
Trend continuation,Anxiety,2.464807676494385,3.318828542867324,-0.14237568117149435,8.50522824991814,200,200,144,56
Trend continuation,Depression,5.522681308358579,5.157390626522656,2.36669149888985,7.76516135357409,200,200,182,18
Attenuated burden divergence,Suicide,-1.9265206359831422,-2.4578267117354176,-4.189265987665913,-0.28863830002311963,200,199,46,153
Attenuated burden divergence,Anxiety,1.0585673443440413,1.3458433287472618,-0.06159656563392846,3.593132054493653,200,200,144,56
Attenuated burden divergence,Depression,2.351937596804621,2.1821802961845442,1.0167073099558943,3.286978734912566,200,200,182,18
Accelerated burden divergence,Suicide,-8.704902319773499,-9.146261758093848,-18.155754887608666,-1.344101763058353,200,199,46,153
Accelerated burden divergence,Anxiety,5.053336486222659,7.452882158684345,-0.28804677826340663,17.97072138732336,200,200,144,56
Accelerated burden divergence,Depression,11.497941990794347,10.868433633574874,4.849767566573659,16.347346319645112,200,200,182,18
